Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,148950,1,5050,3.51,145300,149500,144300,19086923,2814598161000,881730068481900,5919637922,STK
000660,KR7000660001,SK하이닉스,KOSPI,,755000,1,6000,0.8,751000,763000,747000,2283281,1722403249000,549641785575000,728002365,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,392500,1,500,0.13,394000,398000,390000,154629,60836478750,91845000000000,234000000,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1933000,2,-32000,-1.63,1980000,1981000,1895000,38598,74027778500,89480408283000,46290951,STK
005380,KR7005380001,현대차,KOSPI,,420000,2,-2000,-0.47,426500,426500,418000,1324403,558708174750,85998261720000,204757766,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,1294000,3,0,0.0,1308000,1319000,1287000,173384,225559877500,66723040894000,51563401,STK
329180,KR7329180004,HD현대중공업,KOSPI,,625000,2,-6000,-0.95,631000,631000,613000,100553,62589464000,65600765625000,104961225,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,95500,1,6000,6.7,90100,96400,89900,13115495,1226864396100,61173589443000,640561146,STK
000270,KR7000270009,기아,KOSPI,,153400,1,900,0.59,158000,159500,152900,1640833,256554661800,59889353893200,390412998,STK
402340,KR7402340004,SK스퀘어,KOSPI,,435500,1,6000,1.4,430500,436500,424500,180230,77769733750,57523938582500,132087115,STK
105560,KR7105560007,KB금융,KOSPI,,130900,1,800,0.61,131500,131900,128800,398271,51896489650,49933389282700,381462103,STK
028260,KR7028260008,삼성물산,KOSPI,,288000,1,2000,0.7,290500,290500,283000,124987,35784145750,48953244672000,169976544,STK
068270,KR7068270008,셀트리온,KOSPI,,209500,2,-1000,-0.48,210000,210000,205500,323808,67145490500,48386323005500,230960969,STK
042660,KR7042660001,한화오션,KOSPI,,147000,2,-1900,-1.28,149800,151100,144600,1570265,231416690950,45042768918000,306413394,STK
012330,KR7012330007,현대모비스,KOSPI,,440000,2,-10500,-2.33,449000,449500,437500,346679,153228127000,39922336520000,90732583,STK
055550,KR7055550008,신한지주,KOSPI,,79700,1,300,0.38,79600,79800,78700,568142,45048652400,38693946239800,485494934,STK
035420,KR7035420009,NAVER,KOSPI,,245500,2,-2000,-0.81,248500,248500,243500,1215476,298384103750,38507322629000,156852638,STK
015760,KR7015760002,한국전력,KOSPI,,54400,1,600,1.12,54300,55500,54000,2558902,139967019650,34922845788800,641964077,STK
032830,KR7032830002,삼성생명,KOSPI,,170800,1,9600,5.96,162800,176900,162600,426711,73252265250,34160000000000,200000000,STK
267260,KR7267260008,HD현대일렉트릭,KOSPI,,902000,1,10000,1.12,910000,915000,888000,95820,86183697500,32514515770000,36047135,STK
010130,KR7010130003,고려아연,KOSPI,,1555000,1,117000,8.14,1501000,1597000,1456000,100711,155961479500,32457466795000,20872969,STK
009540,KR7009540006,HD한국조선해양,KOSPI,,436000,2,-4000,-0.91,439000,441000,427000,100503,43528337750,30857078576000,70773116,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,340000,2,-11500,-3.27,353500,354000,339500,459701,158284890000,27517203680000,80932952,STK
086790,KR7086790003,하나금융지주,KOSPI,,96700,1,500,0.52,97000,97000,95800,324132,31247838400,26914106213800,278325814,STK
010140,KR7010140002,삼성중공업,KOSPI,,29550,2,-600,-1.99,30350,30400,29450,5221193,155247643825,26004000000000,880000000,STK
035720,KR7035720002,카카오,KOSPI,,57600,2,-900,-1.54,58400,58500,57100,1940960,111628717050,25487724672000,442495220,STK
051910,KR7051910008,LG화학,KOSPI,,336000,3,0,0.0,337000,343000,334000,137600,46445359500,23719027248000,70592343,STK
064350,KR7064350002,현대로템,KOSPI,,215500,2,-4000,-1.82,221000,221500,213000,430140,92792467500,23520164141500,109142293,STK
006400,KR7006400006,삼성SDI,KOSPI,,288500,2,-3000,-1.03,291500,292000,286000,267314,77133725750,23248925405000,80585530,STK
000810,KR7000810002,삼성화재,KOSPI,,490000,1,14500,3.05,480000,513000,478500,116619,57731190750,22545465950000,46011155,STK
034730,KR7034730002,SK,KOSPI,,300000,2,-1500,-0.5,306500,307000,295000,132357,39489805750,21750810900000,72502703,STK
009150,KR7009150004,삼성전기,KOSPI,,286500,2,-3000,-1.04,291500,291500,279500,404958,115105662750,21399743904000,74693696,STK
298040,KR7298040007,효성중공업,KOSPI,,2287000,1,44000,1.96,2273000,2338000,2204000,40424,91300287000,21325241276000,9324548,STK
316140,KR7316140003,우리금융지주,KOSPI,,27800,2,-200,-0.71,28050,28050,27550,866519,24038609050,20407321696000,734076320,STK
086280,KR7086280005,현대글로비스,KOSPI,,258000,2,-8000,-3.01,270500,270500,258000,328976,86611315500,19350000000000,75000000,STK
011200,KR7011200003,HMM,KOSPI,,20050,2,-200,-0.99,20350,20400,20000,1342158,26961744950,18911921298500,943237970,STK
267250,KR7267250009,HD현대,KOSPI,,235000,3,0,0.0,239500,240000,230000,99133,23213079250,18563374975000,78993085,STK
138040,KR7138040001,메리츠금융지주,KOSPI,,105400,1,2500,2.43,103900,105500,101500,136772,14313976200,18468374874200,175221773,STK
096770,KR7096770003,SK이노베이션,KOSPI,,106400,2,-1200,-1.12,107000,107400,106000,149546,15929464350,17987216643200,169052788,STK
006800,KR7006800007,미래에셋증권,KOSPI,,31050,1,300,0.98,31000,32600,30700,4267521,134173450325,17608012040700,567085734,STK
042700,KR7042700005,한미반도체,KOSPI,,179100,2,-900,-0.5,185700,185700,179000,901157,163398623050,17070415020000,95312200,STK
272210,KR7272210006,한화시스템,KOSPI,,90100,2,-6400,-6.63,95200,96300,89600,2803737,256654832850,17021636948900,188919389,STK
003670,KR7003670007,포스코퓨처엠,KOSPI,,190200,2,-5200,-2.66,195500,196000,190000,192613,36963536000,16917571044000,88946220,STK
033780,KR7033780008,KT&G,KOSPI,,143200,2,-500,-0.35,143400,143900,142800,130849,18735200450,16894255564000,117976645,STK
0126Z0,KR70126Z0002,삼성에피스홀딩스,KOSPI,,661000,2,-24000,-3.5,683000,683000,652000,134456,88658503500,16447695389000,24883049,STK
024110,KR7024110009,기업은행,KOSPI,,20600,2,-100,-0.48,20750,20800,20550,648357,13350858275,16426972901400,797425869,STK
066570,KR7066570003,LG전자,KOSPI,,98400,1,4400,4.68,95100,103700,94300,3824028,381967886500,16028020480800,162886387,STK
010120,KR7010120004,LS ELECTRIC,KOSPI,,529000,1,3000,0.57,536000,537000,519000,107465,56784163000,15870000000000,30000000,STK
047810,KR7047810007,한국항공우주,KOSPI,,158100,2,-8500,-5.1,165200,165300,158100,817296,131266777150,15410814416700,97475107,STK
352820,KR7352820005,하이브,KOSPI,,340000,1,1500,0.44,340500,346500,336000,280238,95489302250,14474025760000,42570664,STK
018260,KR7018260000,삼성에스디에스,KOSPI,,180300,1,5400,3.09,178200,184200,177100,275440,49858188350,13951217340000,77377800,STK
030200,KR7030200000,KT,KOSPI,,54400,1,1100,2.06,54000,55200,53800,295386,16094548000,13709979664000,252021685,STK
003550,KR7003550001,LG,KOSPI,,88600,1,3800,4.48,87700,92400,84100,770358,68896550450,13664032431000,154221585,STK
000150,KR7000150003,두산,KOSPI,,822000,2,-12000,-1.44,834000,835000,810000,79357,65247399000,13311332370000,16193835,STK
307950,KR7307950006,현대오토에버,KOSPI,,479500,2,-12500,-2.54,507000,509000,479500,207250,102417199000,13149799369000,27423982,STK
017670,KR7017670001,SK텔레콤,KOSPI,,55400,1,500,0.91,55600,55600,55000,564569,31213031950,11899368936200,214790053,STK
079550,KR7079550000,LIG넥스원,KOSPI,,533000,2,-23000,-4.14,551000,552000,532000,125335,67401759500,11726000000000,22000000,STK
000720,KR7000720003,현대건설,KOSPI,,101400,1,1500,1.5,99600,105900,97400,2100826,212564558950,11291474571000,111355765,STK
259960,KR7259960003,크래프톤,KOSPI,,234000,1,500,0.21,235000,237000,232500,45714,10709742500,11092496454000,47403831,STK
323410,KR7323410001,카카오뱅크,KOSPI,,21350,1,50,0.23,21400,21450,21200,472897,10065046925,10184194179950,477011437,STK
071050,KR7071050009,한국금융지주,KOSPI,,182700,1,5700,3.22,179200,183600,177300,176972,31994990300,10181138738400,55725992,STK
047050,KR7047050000,포스코인터내셔널,KOSPI,,57700,3,0,0.0,57500,58500,56500,596764,34439274750,10150744867600,175922788,STK
010950,KR7010950004,S-Oil,KOSPI,,89500,2,-2300,-2.51,90600,91800,89200,144268,13005926850,10076159884000,112582792,STK
326030,KR7326030004,SK바이오팜,KOSPI,,120500,1,900,0.75,119700,120700,118000,141673,16841012650,9436746625000,78313250,STK
000880,KR7000880005,한화,KOSPI,,125000,2,-11500,-8.42,134300,134600,124800,1208390,153954528100,9369841875000,74958735,STK
278470,KR7278470000,에이피알,KOSPI,,242500,1,5000,2.11,239000,247000,235500,298688,72688279500,9076933837500,37430655,STK
